,City,State,2018,2019,2020
210,Los Angeles-Long Beach-Anaheim, CA,61594,64705,69805
211,Louisville/Jefferson County, KY-IN,50313,52288,55676
212,Lubbock, TX,43189,44706,46297
213,Lynchburg, VA,39668,40521,43529
214,Macon-Bibb County, GA,40191,41402,44520
215,Madera, CA,37373,38751,44532
216,Madison, WI,59266,61743,64280
217,Manchester-Nashua, NH,60760,62752,66548
218,Manhattan, KS,45802,47291,49865
219,Mankato, MN,46008,46951,50562
220,Mansfield, OH,39173,40313,43928
221,McAllen-Edinburg-Mission, TX,27007,28091,31153
222,Medford, OR,45903,47708,51824
223,Memphis, TN-MS-AR,46481,47904,51155
224,Merced, CA,37193,37952,43914
225,Miami-Fort Lauderdale-Pompano Beach, FL,59189,61362,64190
226,Michigan City-La Porte, IN,42248,43065,46274
227,Midland, MI,53973,54477,57561
228,Midland, TX,130647,135900,124667
229,Milwaukee-Waukesha, WI,56253,57860,60499
230,Minneapolis-St. Paul-Bloomington, MN-WI,62695,64270,67214
231,Missoula, MT,49616,51738,54353
232,Mobile, AL,38119,39910,42731
233,Modesto, CA,41850,43402,48954
234,Monroe, LA,40581,41691,45252
235,Monroe, MI,47091,48696,52028
236,Montgomery, AL,43156,44473,47446
237,Morgantown, WV,43856,44753,46841
238,Morristown, TN,36379,37563,40061
239,Mount Vernon-Anacortes, WA,50703,53221,57315
240,Muncie, IN,36727,38153,40948
241,Muskegon, MI,38141,39769,44000
242,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,39867,41213,43477
243,Napa, CA,70161,73886,82408
244,Naples-Marco Island, FL,99997,103205,103865
245,Nashville-Davidson--Murfreesboro--Franklin, TN,59105,61516,62076
246,New Bern, NC,41910,44765,48121
247,New Haven-Milford, CT,54773,56710,60092
248,New Orleans-Metairie, LA,52574,54660,57891
249,New York-Newark-Jersey City, NY-NJ-PA,75166,77911,82322
250,Niles, MI,47325,48231,52395
251,North Port-Sarasota-Bradenton, FL,58060,59917,61988
252,Norwich-New London, CT,56567,58122,61191
253,Ocala, FL,37497,38754,41553
254,Ocean City, NJ,60246,63203,67836
255,Odessa, TX,49458,52079,49887
256,Ogden-Clearfield, UT,43682,46201,49371
257,Oklahoma City, OK,48300,51408,52688
258,Olympia-Lacey-Tumwater, WA,49483,52010,56007
259,Omaha-Council Bluffs, NE-IA,57457,58368,61040
260,Orlando-Kissimmee-Sanford, FL,43970,45718,48223
261,Oshkosh-Neenah, WI,47644,48943,50840
262,Owensboro, KY,40785,42380,45684
263,Oxnard-Thousand Oaks-Ventura, CA,60238,63190,67422
264,Palm Bay-Melbourne-Titusville, FL,46145,48539,51507
265,Panama City, FL,43020,46818,50696
266,Parkersburg-Vienna, WV,43479,45758,47706
267,Pensacola-Ferry Pass-Brent, FL,43699,45259,48154
268,Peoria, IL,48056,48746,52742
269,Philadelphia-Camden-Wilmington, PA-NJ-DE-MD,64053,65733,69705
270,Phoenix-Mesa-Chandler, AZ,46140,48082,51851
271,Pine Bluff, AR,33869,35151,37962
272,Pittsburgh, PA,58000,59494,63675
273,Pittsfield, MA,55947,57300,61872
274,Pocatello, ID,37248,38901,42186
275,Portland-South Portland, ME,57732,59724,63497
276,Portland-Vancouver-Hillsboro, OR-WA,56762,58941,62603
277,Port St. Lucie, FL,54988,56602,58649
278,Poughkeepsie-Newburgh-Middletown, NY,53225,55508,59690
279,Prescott Valley-Prescott, AZ,40098,41076,44490
280,Providence-Warwick, RI-MA,53771,56197,60897
281,Provo-Orem, UT,40896,43520,46393
282,Pueblo, CO,37969,39533,43196
283,Punta Gorda, FL,42292,43549,45606
284,Racine, WI,49191,50729,53094
285,Raleigh-Cary, NC,56139,58147,60884
286,Rapid City, SD,50230,52133,55187
287,Reading, PA,49549,51606,55953
288,Redding, CA,44549,46417,51649
289,Reno, NV,61005,62954,66075
290,Richmond, VA,56101,58111,61148
291,Riverside-San Bernardino-Ontario, CA,39403,40988,45365
292,Roanoke, VA,46032,46891,50215
293,Rochester, MN,54635,55770,59842
294,Rochester, NY,50554,52480,56477
295,Rockford, IL,43824,44621,47982
296,Rocky Mount, NC,39030,40816,43623
297,Rome, GA,37593,38630,41238
298,Sacramento-Roseville-Folsom, CA,54832,57014,61852
299,Saginaw, MI,39289,41659,45328
300,St. Cloud, MN,45837,47119,50850
301,St. George, UT,39964,41869,43782
302,St. Joseph, MO-KS,38098,40709,43061
303,St. Louis, MO-IL,55533,57615,60844
304,Salem, OR,42119,44118,47638
305,Salinas, CA,53625,56545,61510
306,Salisbury, MD-DE,48086,49074,51228
307,Salt Lake City, UT,51253,54456,58008
308,San Angelo, TX,48865,51990,53305
309,San Antonio-New Braunfels, TX,48192,48025,50022
310,San Diego-Chula Vista-Carlsbad, CA,58719,60845,66266
311,San Francisco-Oakland-Berkeley, CA,97681,102406,111050
312,San Jose-Sunnyvale-Santa Clara, CA,106568,112693,121619
313,San Luis Obispo-Paso Robles, CA,55913,58693,62342
314,Santa Cruz-Watsonville, CA,65751,68990,75957
315,Santa Fe, NM,58525,60301,63004
316,Santa Maria-Santa Barbara, CA,60818,62715,67879
317,Santa Rosa-Petaluma, CA,61501,64869,71386
318,Savannah, GA,46990,47964,51184
319,Scranton--Wilkes-Barre, PA,45522,46925,51246
320,Seattle-Tacoma-Bellevue, WA,72685,75970,80420
321,Sebastian-Vero Beach, FL,79972,83241,84607
322,Sebring-Avon Park, FL,33047,34433,37158
323,Sheboygan, WI,52880,53217,55616
324,Sherman-Denison, TX,43052,44585,47045
325,Shreveport-Bossier City, LA,46853,48256,52391
326,Sierra Vista-Douglas, AZ,38892,40546,45786
