City,State,2018,2019,2020
Burlington-South Burlington, VT,"56,799","58,650","61,802"
California-Lexington Park, MD,"56,372","57,891","61,144"
Canton-Massillon, OH,"44,544","46,019","49,255"
Cape Coral-Fort Myers, FL,"52,022","52,832","54,707"
Cape Girardeau, MO-IL,"42,816","43,506","45,802"
Carbondale-Marion, IL,"40,124","41,233","44,335"
Carson City, NV,"50,378","52,880","56,510"
Casper, WY,"71,185","70,054","68,447"
Cedar Rapids, IA,"52,032","52,898","55,971"
Chambersburg-Waynesboro, PA,"46,435","48,014","51,979"
Champaign-Urbana, IL,"44,971","46,203","49,967"
Charleston, WV,"44,328","45,527","48,623"
Charleston-North Charleston, SC,"50,814","53,279","55,321"
Charlotte-Concord-Gastonia, NC-SC,"52,232","54,086","56,682"
Charlottesville, VA,"66,576","67,809","69,853"
Chattanooga, TN-GA,"45,935","47,104","49,865"
Cheyenne, WY,"52,224","53,532","55,094"
Chicago-Naperville-Elgin, IL-IN-WI,"61,970","64,079","67,671"
Chico, CA,"42,441","45,175","50,279"
Cincinnati, OH-KY-IN,"54,109","56,402","59,607"
Clarksville, TN-KY,"40,928","42,209","44,908"
Cleveland, TN,"38,418","39,505","41,756"
Cleveland-Elyria, OH,"53,881","55,294","58,846"
Coeur d'Alene, ID,"45,311","46,762","48,953"
College Station-Bryan, TX,"41,146","41,965","44,037"
Colorado Springs, CO,"48,562","50,862","54,166"
Columbia, MO,"45,575","47,977","50,421"
Columbia, SC,"44,739","46,273","48,971"
Columbus, GA-AL,"40,276","41,806","44,760"
Columbus, IN,"51,441","53,268","55,804"
Columbus, OH,"51,196","52,522","56,252"
Corpus Christi, TX,"43,618","46,336","48,060"
Corvallis, OR,"45,846","47,920","50,399"
Crestview-Fort Walton Beach-Destin, FL,"52,807","55,156","58,663"
Cumberland, MD-WV,"39,817","41,166","44,308"
Dallas-Fort Worth-Arlington, TX,"57,562","59,409","61,554"
Dalton, GA,"36,697","37,995","40,781"
Danville, IL,"38,433","39,696","44,533"
Daphne-Fairhope-Foley, AL,"46,905","48,270","50,953"
Davenport-Moline-Rock Island, IA-IL,"48,660","49,614","53,620"
Dayton-Kettering, OH,"47,682","48,990","52,367"
Decatur, AL,"38,608","40,499","43,264"
Decatur, IL,"47,662","48,151","52,196"
Deltona-Daytona Beach-Ormond Beach, FL,"43,575","45,174","47,194"
Denver-Aurora-Lakewood, CO,"64,114","67,089","69,822"
Des Moines-West Des Moines, IA,"53,814","55,065","58,076"
Detroit-Warren-Dearborn, MI,"52,469","54,213","58,356"
Dothan, AL,"41,141","42,857","45,349"
Dover, DE,"42,155","43,761","46,600"
Dubuque, IA,"49,703","51,329","54,751"
Duluth, MN-WI,"45,717","47,150","49,785"
Durham-Chapel Hill, NC,"52,243","54,408","56,703"
East Stroudsburg, PA,"42,708","44,150","48,409"
Eau Claire, WI,"47,300","48,822","51,569"
El Centro, CA,"35,331","37,196","44,500"
Elizabethtown-Fort Knox, KY,"41,440","43,331","46,770"
Elkhart-Goshen, IN,"46,541","46,845","49,875"
Elmira, NY,"43,941","45,658","49,439"
El Paso, TX,"36,347","38,681","41,732"
Enid, OK,"44,288","45,053","46,702"
Erie, PA,"44,740","46,259","50,536"
Eugene-Springfield, OR,"44,957","45,960","49,583"
Evansville, IN-KY,"46,925","49,168","51,695"
Fairbanks, AK,"56,888","59,194","62,254"
Fargo, ND-MN,"53,618","55,292","58,158"
Farmington, NM,"35,408","36,095","38,370"
Fayetteville, NC,"36,324","38,060","40,972"
Fayetteville-Springdale-Rogers, AR,"67,281","68,808","70,085"
Flagstaff, AZ,"48,416","48,837","53,036"
Flint, MI,"40,495","41,940","46,152"
Florence, SC,"40,184","42,238","45,178"
