Model_Year,Model,Manufacturer,ManufacturerID,VehicleID,Category,Fuel,FuelID,Transmission_Type,Engine_Description
2022,Wrangler 2dr 4x4,Jeep,275,13028,SUV,Hybrid Electric,45,Auto,3.6L V6
2022,Wrangler 4dr 4x4,Jeep,275,13029,SUV,Hybrid Electric,45,Auto,3.6L V6
2022,Wrangler 4dr 4xe,Jeep,275,13038,SUV,Plug-in Hybrid Electric,57,Auto,"2.0L I4
100 kW electric motor"
2022,X3 M40i,BMW,211,12860,SUV,Hybrid Electric,45,Auto,3.0L V6
2022,X4 M40i,BMW,211,12861,SUV,Hybrid Electric,45,Auto,3.0L V6
2022,X5 sDrive40i,BMW,211,12862,SUV,Hybrid Electric,45,Auto,3.0L V6
2022,X5 xDrive40i,BMW,211,12863,SUV,Hybrid Electric,45,Auto,3.0L V6
2022,X5 xDrive45e,BMW,211,13072,SUV,Plug-in Hybrid Electric,57,Auto,"3.0L I6
83 kW electric motor"
2022,X6 xDrive40i,BMW,211,12864,SUV,Hybrid Electric,45,Auto,3.0L V6
2022,X7 xDrive40i,BMW,211,12865,SUV,Hybrid Electric,45,Auto,3.0L V6
2022,XC40 Recharge Twin,Volvo,395,12885,SUV,Electric,41,Auto,"150 kW electric motor
196 Ah battery"
2022,XC60 T8 AWD Recharge,Volvo,395,12847,SUV,Plug-in Hybrid Electric,57,Auto,"2.0L I4
34 & 65 kW electric motors"
2022,XC90 T8 AWD Recharge,Volvo,395,12848,SUV,Plug-in Hybrid Electric,57,Auto,"2.0L I4
34 & 65 kW electric motors"
2022,e-tron GT,Audi,377,12949,Sedan/Wagon,Electric,41,Auto,"175 kW electric motor
129 Ah battery"
2022,"e-tron S (20"" wheels)",Audi,377,12950,SUV,Electric,41,Auto,"138kW electric motor
240 Ah battery"
2022,"e-tron S (21"" or 22"" wheels)",Audi,377,12951,SUV,Electric,41,Auto,"138kW electric motor
240 Ah battery"
2022,"e-tron S Sportback (20"" wheels)",Audi,377,12952,SUV,Electric,41,Auto,"138kW electric motor
240 Ah battery"
